"","Movie","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year","...1","Book","book_year","movie_year","time_diff"
"171","Death on the Nile",37,"Death on the Nile",137307235,45630104,"33.2%","$91,677,131","66.8%",2022,795,"Death on the Nile (1937), Agatha Christie",1937,2022,85
"172","Death on the Nile",37,"Death on the Nile",137307235,45630104,"33.2%","$91,677,131","66.8%",2022,794,"Death on the Nile (1937), Agatha Christie",1937,2004,67
"173","Death on the Nile",29,"Death on the Nile",14560084,14560084,"100%","-","-",1978,793,"Death on the Nile (1937), Agatha Christie",1937,1978,41
"174","Death on the Nile",29,"Death on the Nile",14560084,14560084,"100%","-","-",1978,795,"Death on the Nile (1937), Agatha Christie",1937,2022,85
"175","Death on the Nile",29,"Death on the Nile",14560084,14560084,"100%","-","-",1978,794,"Death on the Nile (1937), Agatha Christie",1937,2004,67
"176","Death Wish",126,"Death Wish",49562710,34017028,"68.6%","$15,545,682","31.4%",2018,797,"Death Wish (1972), Brian Garfield",1972,1974,2
"177","Death Wish",126,"Death Wish",49562710,34017028,"68.6%","$15,545,682","31.4%",2018,798,"Death Wish (1972), Brian Garfield",1972,2018,46
"178","Derailed",87,"Derailed",57479076,36024076,"62.7%","$21,455,000","37.3%",2005,811,"Derailed (2003), James Siegel",2003,2005,2
"179","Desert Hearts",137,"Desert Hearts",2492995,2492088,"100%","-","-",1986,817,"Desert of the Heart (1964), Jane Rule",1964,1985,21
"180","Desperate Hours",139,"Desperate Hours",2742912,2742912,"100%","-","-",1990,819,"The Desperate Hours (1954), Joseph Hayes",1954,1990,36
"181","Devil in the Flesh",195,"Devil in the Flesh",546904,546904,"100%","-","-",1987,853,"The Devil in the Flesh (French: Le Diable au corps) (1923), Raymond Radiguet",1923,1947,24
"182","Devil in the Flesh",195,"Devil in the Flesh",546904,546904,"100%","-","-",1987,854,"The Devil in the Flesh (French: Le Diable au corps) (1923), Raymond Radiguet",1923,1986,63
"183","Diabolique",95,"Diabolique",17100266,17100266,"100%","-","-",1996,2915,"She Who Was No More (French: Celle qui n'était plus) (1952), Pierre Boileau and Thomas Narcejac",1952,1996,44
"184","Die Hard",7,"Die Hard",83069148,83008852,"99.9%","$14,188","<0.1%",1988,2391,"Nothing Lasts Forever (1979), Roderick Thorp",1979,1988,9
"185","Die Hard 2",8,"Die Hard 2",117545298,117540947,"100%","$67","<0.1%",1990,5,"58 Minutes (1987), Walter Wager",1987,1990,3
"186","Diner",54,"Diner",14099953,14099953,"100%","-","-",1982,874,"Diner (ダイナー) (2009), Yumeaki Hirayama",2009,2019,10
"187","Disclosure",15,"Disclosure",83015089,83015089,"100%","-","-",1994,881,"Disclosure (1994), Michael Crichton",1994,1994,0
"188","Divine Secrets of the Ya-Ya Sisterhood",63,"Divine Secrets of the Ya-Ya Sisterhood",73839240,69599016,"94.3%","$4,240,224","5.7%",2002,885,"Divine Secrets of the Ya-Ya Sisterhood (1996), Rebecca Wells",1996,2002,6
"189","Doctor Sleep",92,"Doctor Sleep",72381712,31581712,"43.6%","$40,800,000","56.4%",2019,897,"Doctor Sleep (2013), Stephen King",2013,2019,6
"190","Don't Say a Word",42,"Don't Say a Word",100020092,55001642,"55%","$45,018,450","45%",2001,932,"Don't Say a Word (1991), Andrew Klavan",1991,2001,10
"191","Dracula",15,"Dracula",82528813,82522790,"100%","-","-",1992,959,"Dracula (1897), Bram Stoker",1897,1969,72
"192","Dracula",15,"Dracula",82528813,82522790,"100%","-","-",1992,973,"Dracula (1897), Bram Stoker",1897,1972,75
"193","Dracula",15,"Dracula",82528813,82522790,"100%","-","-",1992,997,"Dracula (1897), Bram Stoker",1897,1979,82
"194","Dracula",15,"Dracula",82528813,82522790,"100%","-","-",1992,1027,"Dracula (1897), Bram Stoker",1897,2009,112
"195","Dracula",15,"Dracula",82528813,82522790,"100%","-","-",1992,1025,"Dracula (1897), Bram Stoker",1897,2006,109
"196","Dracula",15,"Dracula",82528813,82522790,"100%","-","-",1992,943,"Dracula (1897), Bram Stoker",1897,1931,34
"197","Dracula",15,"Dracula",82528813,82522790,"100%","-","-",1992,948,"Dracula (1897), Bram Stoker",1897,1958,61
"198","Dracula",15,"Dracula",82528813,82522790,"100%","-","-",1992,942,"Dracula (1897), Bram Stoker",1897,1931,34
"199","Dracula",34,"Dracula",20158970,20158970,"100%","-","-",1979,959,"Dracula (1897), Bram Stoker",1897,1969,72
"200","Dracula",34,"Dracula",20158970,20158970,"100%","-","-",1979,973,"Dracula (1897), Bram Stoker",1897,1972,75
"201","Dracula",34,"Dracula",20158970,20158970,"100%","-","-",1979,997,"Dracula (1897), Bram Stoker",1897,1979,82
"202","Dracula",34,"Dracula",20158970,20158970,"100%","-","-",1979,1027,"Dracula (1897), Bram Stoker",1897,2009,112
"203","Dracula",34,"Dracula",20158970,20158970,"100%","-","-",1979,1025,"Dracula (1897), Bram Stoker",1897,2006,109
"204","Dracula",34,"Dracula",20158970,20158970,"100%","-","-",1979,943,"Dracula (1897), Bram Stoker",1897,1931,34
"205","Dracula",34,"Dracula",20158970,20158970,"100%","-","-",1979,948,"Dracula (1897), Bram Stoker",1897,1958,61
"206","Dracula",34,"Dracula",20158970,20158970,"100%","-","-",1979,942,"Dracula (1897), Bram Stoker",1897,1931,34
"207","Dracula 2000",82,"Dracula 2000",47053625,33022767,"70.2%","$14,030,858","29.8%",2000,1011,"Dracula (1897), Bram Stoker",1897,2000,103
"208","Dracula Untold",38,"Dracula Untold",217124280,56280355,"25.9%","$160,843,925","74.1%",2014,1036,"Dracula (1897), Bram Stoker",1897,2014,117
"209","Dracula: Dead and Loving It",115,"Dracula: Dead and Loving It",10772144,10772144,"100%","-","-",1995,1008,"Dracula (1897), Bram Stoker",1897,1995,98
"210","Dreamcatcher",71,"Dreamcatcher",75715436,33715436,"44.5%","$42,000,000","55.5%",2003,1055,"Dreamcatcher (2001), Stephen King",2001,2003,2
"211","Dreamscape",70,"Dreamscape",12145169,12145169,"100%","-","-",1984,1054,"The Dream Master (1966), Roger Zelazny",1966,1984,18
"212","Dressed to Kill",21,"Dressed to Kill",31900256,31899000,"100%","-","-",1980,781,"The Dead Take No Bows (1941),  Richard Bruke",1941,1941,0
"213","Dune",28,"Dune",31443745,31439560,"100%","$1,175","<0.1%",1984,1065,"Dune (1965), Frank Herbert",1965,1984,19
"214","Dune: Part One",11,"Dune: Part One",402127830,108327830,"26.9%","$293,800,000","73.1%",2021,1066,"Dune (1965), Frank Herbert",1965,2021,56
"215","Dune: Part Two",7,"Dune: Part Two",714844358,282144358,"39.5%","$432,700,000","60.5%",2024,1067,"Dune (1965), Frank Herbert",1965,2024,59
"216","Dying Young",42,"Dying Young",33669178,33669178,"100%","-","-",1991,1069,"Dying Young (1990), Marti Leimbach",1990,1991,1
"217","Earth",52,"Earth",108975160,32011576,"29.4%","$76,963,584","70.6%",2007,719,"Cracking India (1991), Bapsi Sidhwa",1991,1998,7
"218","Eddie and the Cruisers",103,"Eddie and the Cruisers",4786789,4786789,"100%","-","-",1983,1075,"Eddie and the Cruisers (1980), P. F. Kluge",1980,1983,3
"219","Edge of Tomorrow",20,"Edge of Tomorrow",370541256,100206256,"27%","$270,335,000","73%",2014,128,"All You Need Is Kill (2009), Hiroshi Sakurazaka",2009,2014,5
"220","Election",111,"Election",14902204,14902041,"100%","-","-",1999,1077,"Election (1998), Tom Perrotta",1998,1999,1
"221","Emma",72,"Emma",22231658,22231658,"100%","-","-",1996,1086,"Emma (1815), Jane Austen",1815,1996,181
"222","Emma",72,"Emma",22231658,22231658,"100%","-","-",1996,1085,"Emma (1815), Jane Austen",1815,1996,181
"223","Emma.",56,"Emma.",26314547,10055355,"38.2%","$16,259,192","61.8%",2020,1088,"Emma (1815), Jane Austen",1815,2020,205
"224","Empire of the Sun",54,"Empire of the Sun",22238696,22238696,"100%","-","-",1987,1095,"Empire of the Sun (1984), J. G. Ballard",1984,1987,3
"225","Enchanted April",87,"Enchanted April",13200170,13200170,"100%","-","-",1992,1097,"The Enchanted April (1922), Elizabeth von Arnim",1922,1992,70
"226","Enchanted April",87,"Enchanted April",13200170,13200170,"100%","-","-",1992,1096,"The Enchanted April (1922), Elizabeth von Arnim",1922,1935,13
"227","Endless Love",165,"Endless Love",34718173,23438250,"67.5%","$11,279,923","32.5%",2014,1101,"Endless Love (1979), Scott Spencer",1979,1981,2
"228","Endless Love",165,"Endless Love",34718173,23438250,"67.5%","$11,279,923","32.5%",2014,1102,"Endless Love (1979), Scott Spencer",1979,2014,35
"229","Endless Love",19,"Endless Love",32492674,31184024,"96%","$1,308,650","4%",1981,1101,"Endless Love (1979), Scott Spencer",1979,1981,2
"230","Endless Love",19,"Endless Love",32492674,31184024,"96%","$1,308,650","4%",1981,1102,"Endless Love (1979), Scott Spencer",1979,2014,35
"231","Eragon",16,"Eragon",250425512,75030163,"30%","$175,395,349","70%",2006,1109,"Eragon (2003), Christopher Paolini",2003,2006,3
"232","Escape",139,"Escape",18456373,259242,"1.4%","$18,197,131","98.6%",2024,1110,"Escape (1939), Grace Zaring Stone",1939,1940,1
"233","Everybody's All-American",78,"Everybody's All-American",12638294,12638294,"100%","-","-",1988,1117,"Everybody's All-American (1981), Frank Deford",1981,1988,7
"234","Evil Under the Sun",87,"Evil Under the Sun",6110622,6110000,"100%","-","-",1982,1121,"Evil Under the Sun (1981), Agatha Christie",1981,1982,1
"235","Excalibur",18,"Excalibur",34968405,34967437,"100%","-","-",1981,792,"The Death of Arthur (French: Le Morte d'Arthur) (1485), Sir Thomas Malory",1485,1981,496
"236","Exit Wounds",54,"Exit Wounds",79958599,51758599,"64.7%","$28,200,000","35.3%",2001,1127,"Exit Wounds (1990), John Westermann",1990,2001,11
"237","Exorcist II: The Heretic",14,"Exorcist II: The Heretic",30749142,30749142,"100%","-","-",1977,1130,"The Exorcist (1971), William Peter Blatty",1971,1977,6
"238","Exorcist: The Beginning",69,"Exorcist: The Beginning",78110021,41821986,"53.5%","$36,288,035","46.5%",2004,1132,"The Exorcist (1971), William Peter Blatty",1971,2004,33
"239","Eye of the Beholder",106,"Eye of the Beholder",17589705,16500786,"93.8%","$1,088,919","6.2%",1999,1138,"The Eye of the Beholder (1980), Marc Behm",1980,1999,19
"240","Eye of the Needle",42,"Eye of the Needle",17583634,17583634,"100%","-","-",1981,1139,"Eye of the Needle (1978)[N 12], Ken Follett",1978,1981,3
"241","Fair Game",111,"Fair Game",11534477,11534477,"100%","-","-",1995,2801,"A Running Duck (a.k.a. Fair Game) (1974), Paula Gosling",1974,1995,21
"242","Fair Game",161,"Fair Game",25798915,9540691,"37%","$16,258,224","63%",2010,2801,"A Running Duck (a.k.a. Fair Game) (1974), Paula Gosling",1974,1995,21
"243","Family Business",73,"Family Business",12195695,12195695,"100%","-","-",1989,1151,"Family Business (1985), Vincent Patrick",1985,1989,4
"244","Fanaa",172,"Fanaa",22175908,2105352,"9.5%","$20,070,556","90.5%",2006,1140,"Eye of the Needle (1978)[N 12], Ken Follett",1978,2006,28
"245","Far from the Madding Crowd",183,"Far from the Madding Crowd",30229977,12236500,"40.5%","$17,993,477","59.5%",2015,1157,"Far from the Madding Crowd (1874), Thomas Hardy",1874,2015,141
"246","Far from the Madding Crowd",183,"Far from the Madding Crowd",30229977,12236500,"40.5%","$17,993,477","59.5%",2015,1156,"Far from the Madding Crowd (1874), Thomas Hardy",1874,1998,124
"247","Far from the Madding Crowd",183,"Far from the Madding Crowd",30229977,12236500,"40.5%","$17,993,477","59.5%",2015,1155,"Far from the Madding Crowd (1874), Thomas Hardy",1874,1967,93
"248","Far from the Madding Crowd",183,"Far from the Madding Crowd",30229977,12236500,"40.5%","$17,993,477","59.5%",2015,1154,"Far from the Madding Crowd (1874), Thomas Hardy",1874,1915,41
"249","Farewell My Concubine",125,"Farewell My Concubine",7133997,5216888,"73.1%","$1,894,851","26.6%",1993,1158,"Farewell My Concubine (1991), Lilian Lee",1991,1993,2
"250","Farewell to the King",136,"Farewell to the King",2420917,2420917,"100%","-","-",1989,1161,"Farewell to the King (French: L'Adieu au roi) (1969), Pierre Schoendoerffer",1969,1989,20
"251","Father of the Bride",9,"Father of the Bride",89325780,89325780,"100%","-","-",1991,1167,"Father of the Bride (1949), Edward Streeter",1949,1950,1
"252","Father of the Bride",9,"Father of the Bride",89325780,89325780,"100%","-","-",1991,1171,"Father of the Bride (1949), Edward Streeter",1949,2022,73
"253","Father of the Bride",9,"Father of the Bride",89325780,89325780,"100%","-","-",1991,1169,"Father of the Bride (1949), Edward Streeter",1949,1991,42
"254","Father of the Bride Part II",18,"Father of the Bride Part II",76594107,76594107,"100%","-","-",1995,1170,"Father of the Bride (1949), Edward Streeter",1949,1995,46
"255","Fear and Loathing in Las Vegas",122,"Fear and Loathing in Las Vegas",10680275,10680275,"100%","-","-",1998,1173,"Fear and Loathing in Las Vegas (1971), Hunter S. Thompson",1971,1998,27
"256","Fever Pitch",157,"Fever Pitch",618847,618847,"100%","-","-",1985,1179,"Fever Pitch (1992), Nick Hornby",1992,2005,13
"257","Fever Pitch",157,"Fever Pitch",618847,618847,"100%","-","-",1985,1178,"Fever Pitch (1992), Nick Hornby",1992,1997,5
"258","Fever Pitch",98,"Fever Pitch",50605163,42071069,"83.1%","$8,534,094","16.9%",2005,1179,"Fever Pitch (1992), Nick Hornby",1992,2005,13
"259","Fever Pitch",98,"Fever Pitch",50605163,42071069,"83.1%","$8,534,094","16.9%",2005,1178,"Fever Pitch (1992), Nick Hornby",1992,1997,5
"260","Field of Dreams",19,"Field of Dreams",64532366,64532235,"100%","-","-",1989,2923,"Shoeless Joe (1982), W. P. Kinsella",1982,1989,7
"261","Fifty Shades Darker",25,"Fifty Shades Darker",381545846,114581250,"30%","$266,964,596","70%",2017,1182,"Fifty Shades (2011—2012) (series)[N 13], E. L. James",2011,2017,6
"262","Fifty Shades Freed",26,"Fifty Shades Freed",371985018,100407760,"27%","$271,577,258","73%",2018,1183,"Fifty Shades (2011—2012) (series)[N 13], E. L. James",2011,2018,7
"263","Fifty Shades of Grey",11,"Fifty Shades of Grey",569651467,166167230,"29.2%","$403,484,237","70.8%",2015,1181,"Fifty Shades (2011—2012) (series)[N 13], E. L. James",2011,2015,4
"264","Fight Club",38,"Fight Club",100853753,37030102,"36.7%","$63,823,651","63.3%",1999,1184,"Fight Club (1996), Chuck Palahniuk",1996,1999,3
"265","Finding Neverland",47,"Finding Neverland",116650613,51680613,"44.3%","$64,970,000","55.7%",2004,2512,"Peter and Wendy (1911)[N 28], J. M. Barrie",1911,2004,93
"266","Firefox",15,"Firefox",46708276,46708276,"100%","-","-",1982,1189,"Firefox (1977), Craig Thomas",1977,1982,5
"267","Firestarter",132,"Firestarter",15039250,9739250,"64.8%","$5,300,000","35.2%",2022,1192,"Firestarter (1980), Stephen King",1980,1984,4
"268","Firestarter",132,"Firestarter",15039250,9739250,"64.8%","$5,300,000","35.2%",2022,1194,"Firestarter (1980), Stephen King",1980,2022,42
"269","Firestarter",61,"Firestarter",17080167,17080167,"100%","-","-",1984,1192,"Firestarter (1980), Stephen King",1980,1984,4
"270","Firestarter",61,"Firestarter",17080167,17080167,"100%","-","-",1984,1194,"Firestarter (1980), Stephen King",1980,2022,42
"271","First Blood",13,"First Blood",47212904,47212904,"100%","-","-",1982,1196,"First Blood (1972), David Morrell",1972,1982,10
"272","Flashpoint",123,"Flashpoint",3854833,3854833,"100%","-","-",1984,1217,"Flashpoint (1976), George LaFountaine",1976,1984,8
"273","Fletch",12,"Fletch",50612888,50612888,"100%","-","-",1985,1218,"Fletch (1974), Gregory Mcdonald",1974,1985,11
"274","Fletch Lives",35,"Fletch Lives",35150960,35150960,"100%","-","-",1989,1219,"Fletch (1974), Gregory Mcdonald",1974,1989,15
"275","Flicka",175,"Flicka",21893591,21000147,"95.9%","$893,444","4.1%",2006,2313,"My Friend Flicka (1941), Mary O'Hara",1941,2006,65
"276","Flight of the Intruder",84,"Flight of the Intruder",14587732,14587732,"100%","-","-",1991,1221,"Flight of the Intruder (1986), Stephen Coonts",1986,1991,5
"277","Flight of the Phoenix",111,"Flight of the Phoenix",35021497,21009180,"60%","$14,012,317","40%",2004,1223,"The Flight of the Phoenix (1964), Elleston Trevor",1964,2004,40
"278","Flowers in the Attic",70,"Flowers in the Attic",15151736,15151736,"100%","-","-",1987,1225,"Flowers in the Attic (1979), V. C. Andrews",1979,2014,35
"279","Flowers in the Attic",70,"Flowers in the Attic",15151736,15151736,"100%","-","-",1987,1224,"Flowers in the Attic (1979), V. C. Andrews",1979,1987,8
"280","Focus",47,"Focus",159162963,53862963,"33.8%","$105,300,000","66.2%",2015,1227,"Focus (1945), Arthur Miller",1945,2002,57
"281","For Love of the Game",66,"For Love of the Game",46112640,35188640,"76.3%","$10,924,000","23.7%",1999,1234,"For Love of the Game (1991), Michael Shaara",1991,1999,8
"282","Force 10 from Navarone",41,"Force 10 from Navarone",7230000,7230000,"100%","-","-",1978,1237,"Force 10 From Navarone (1968), Alistair MacLean",1968,1978,10
"283","Forrest Gump",2,"Forrest Gump",329833871,329694499,"100%","$137,862","<0.1%",1994,1242,"Forrest Gump (1986), Winston Groom",1986,1994,8
"284","Frankenstein",59,"Frankenstein",22006296,22006296,"100%","-","-",1994,1333,"Frankenstein (1818), Mary Shelley",1818,2025,207
"285","Frankenstein",59,"Frankenstein",22006296,22006296,"100%","-","-",1994,1321,"Frankenstein (1818), Mary Shelley",1818,2004,186
"286","Frankenstein",59,"Frankenstein",22006296,22006296,"100%","-","-",1994,1312,"Frankenstein (1818), Mary Shelley",1818,1992,174
"287","Frankenstein",59,"Frankenstein",22006296,22006296,"100%","-","-",1994,1260,"Frankenstein (1818), Mary Shelley",1818,1931,113
"288","Frankenstein",59,"Frankenstein",22006296,22006296,"100%","-","-",1994,1323,"Frankenstein (1818), Mary Shelley",1818,2007,189
"289","Frankenstein",59,"Frankenstein",22006296,22006296,"100%","-","-",1994,1302,"Frankenstein (1818), Mary Shelley",1818,1984,166
"290","Frankenstein",59,"Frankenstein",22006296,22006296,"100%","-","-",1994,1287,"Frankenstein (1818), Mary Shelley",1818,1973,155
"291","Frankenstein",59,"Frankenstein",22006296,22006296,"100%","-","-",1994,1306,"Frankenstein (1818), Mary Shelley",1818,1986,168
"292","Frankenstein",59,"Frankenstein",22006296,22006296,"100%","-","-",1994,1299,"Frankenstein (1818), Mary Shelley",1818,1981,163
"293","Frankenweenie",85,"Frankenweenie",81491068,35291068,"43.3%","$46,200,000","56.7%",2012,1326,"Frankenstein (1818), Mary Shelley",1818,2012,194
"294","Freakier Friday",20,"Freakier Friday",153019962,94137178,"61.5%","$58,882,784","38.5%",2025,1338,"Freaky Friday (1972), Mary Rodgers",1972,2025,53
